Episodio: 1, Nivel: SuperMarioBros-8-1-v0, Epsilon: 1.0, Recompensa: 141.00
Episodio: 2, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9999660005609927, Recompensa: 127.00
Episodio: 3, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9999440015399703, Recompensa: 166.00
Episodio: 4, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9996390649722136, Recompensa: 945.00
Episodio: 5, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9995910834246691, Recompensa: 260.00
Episodio: 6, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.99875277780488, Recompensa: 997.00
Episodio: 7, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9980778487413259, Recompensa: 871.00
Episodio: 8, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9980319381932776, Recompensa: 273.00
Episodio: 9, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9979111835741764, Recompensa: 467.00
Episodio: 10, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9978772551537564, Recompensa: 131.00
Episodio: 11, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9974332983409386, Recompensa: 789.00
Episodio: 12, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9973844252822819, Recompensa: 260.00
Episodio: 13, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9958844899566706, Recompensa: 1295.00
Episodio: 14, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9953169972644148, Recompensa: 909.00
Episodio: 15, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9952771853608607, Recompensa: 111.00
Episodio: 16, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9950383473786529, Recompensa: 953.00
Episodio: 17, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9949517827647609, Recompensa: 403.00
Episodio: 18, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9948930823119063, Recompensa: 265.00
Episodio: 19, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9948682102833134, Recompensa: 159.00
Episodio: 20, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.994836374994033, Recompensa: 134.00
Episodio: 21, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9948095147610919, Recompensa: 146.00
Episodio: 22, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9947637545530245, Recompensa: 302.00
Episodio: 23, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9947170017318825, Recompensa: 262.00
Episodio: 24, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9942495943566882, Recompensa: 919.00
Episodio: 25, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9939970869032652, Recompensa: 822.00
Episodio: 26, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9939384427758327, Recompensa: 263.00
Episodio: 27, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9939066372386514, Recompensa: 138.00
Episodio: 28, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9938798021083035, Recompensa: 151.00
Episodio: 29, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.993831103166783, Recompensa: 267.00
Episodio: 30, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9937694875176819, Recompensa: 260.00
Episodio: 31, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9934445778584244, Recompensa: 619.00
Episodio: 32, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9934078210706693, Recompensa: 124.00
Episodio: 33, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.993337291583933, Recompensa: 362.00
Episodio: 34, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9931048777349694, Recompensa: 827.00
Episodio: 35, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9930790573309043, Recompensa: 153.00
Episodio: 36, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9926590735124888, Recompensa: 777.00
Episodio: 37, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9926153974522957, Recompensa: 263.00
Episodio: 38, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9923841448910267, Recompensa: 1110.00
Episodio: 39, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9923563585100869, Recompensa: 145.00
Episodio: 40, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.992331549898828, Recompensa: 156.00
Episodio: 41, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9922700272191939, Recompensa: 389.00
Episodio: 42, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9907777832772946, Recompensa: 2250.00
Episodio: 43, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9907302270612763, Recompensa: 255.00
Episodio: 44, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9906707850012094, Recompensa: 395.00
Episodio: 45, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9906301683113627, Recompensa: 310.00
Episodio: 46, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9905925250613704, Recompensa: 122.00
Episodio: 47, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9905350723323342, Recompensa: 400.00
Episodio: 48, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9904855467921022, Recompensa: 85.00
Episodio: 49, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9904191864503811, Recompensa: 376.00
Episodio: 50, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9903884839161406, Recompensa: 140.00
Episodio: 51, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9903637245011562, Recompensa: 157.00
Episodio: 52, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9903251010497498, Recompensa: 119.00
Episodio: 53, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9902973723212596, Recompensa: 149.00
Episodio: 54, Nivel: SuperMarioBros-8-1-v0, Epsilon: 0.9901864651710194, Recompensa: 468.00
