Episodio: 60001, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38387964507250366, Recompensa: 367.90
Episodio: 60002, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3838724182977177, Recompensa: 527.50
Episodio: 60003, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38383879346145505, Recompensa: -1024.20
Episodio: 60004, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38383702381482093, Recompensa: 273.90
Episodio: 60005, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3838352541763456, Recompensa: 242.00
Episodio: 60006, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3838315674557262, Recompensa: 621.00
Episodio: 60007, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3838180006287734, Recompensa: -943.50
Episodio: 60008, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38381578869158434, Recompensa: 237.00
Episodio: 60009, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3838134293059665, Recompensa: 327.00
Episodio: 60010, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3838113648554483, Recompensa: 274.00
Episodio: 60011, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3838095953352708, Recompensa: 344.00
Episodio: 60012, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38379499710508824, Recompensa: -1986.90
Episodio: 60013, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38379293275371296, Recompensa: 331.00
Episodio: 60014, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.38379086841344134, Recompensa: 360.00
Episodio: 60015, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38378688721713106, Recompensa: 623.50
Episodio: 60016, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38378246371411157, Recompensa: 648.90
Episodio: 60017, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38377391175284364, Recompensa: 454.70
Episodio: 60018, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38377007817689474, Recompensa: 609.00
Episodio: 60019, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38376019952305146, Recompensa: 307.90
Episodio: 60020, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.38375636608407615, Recompensa: 354.80
Episodio: 60021, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3837473723967901, Recompensa: 857.00
Episodio: 60022, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3837442762581352, Recompensa: 326.00
Episodio: 60023, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.3837419173121172, Recompensa: 261.00
Episodio: 60024, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.383729090796936, Recompensa: -74.20
Episodio: 60025, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3837248153871484, Recompensa: 629.00
Episodio: 60026, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3837136110909446, Recompensa: 317.40
Episodio: 60027, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.38370432356708944, Recompensa: 759.60
Episodio: 60028, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.383702554540414, Recompensa: 247.00
Episodio: 60029, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.3837000484332518, Recompensa: 243.00
Episodio: 60030, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.3836866336673465, Recompensa: 1070.40
