Episodio: 34001, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5492253433727194, Recompensa: 259.00
Episodio: 34002, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.549213315796622, Recompensa: -562.50
Episodio: 34003, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5492099396822552, Recompensa: 367.00
Episodio: 34004, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5492057195684814, Recompensa: 555.00
Episodio: 34005, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5491998114636756, Recompensa: 520.00
Episodio: 34006, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5491964354323223, Recompensa: 255.00
Episodio: 34007, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5491932704217766, Recompensa: 340.00
Episodio: 34008, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5491909494256355, Recompensa: 276.00
Episodio: 34009, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5491799775766633, Recompensa: 386.20
Episodio: 34010, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5491698499106277, Recompensa: -777.10
Episodio: 34011, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5491652081261131, Recompensa: 198.60
Episodio: 34012, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5491633092255745, Recompensa: 248.00
Episodio: 34013, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5491605663808328, Recompensa: 232.00
Episodio: 34014, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.5491582455229054, Recompensa: 239.00
Episodio: 34015, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.549154025806348, Recompensa: 378.70
Episodio: 34016, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5491514939919772, Recompensa: 242.00
Episodio: 34017, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5491485402232975, Recompensa: 321.00
Episodio: 34018, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5491445315626443, Recompensa: 389.00
Episodio: 34019, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.5491415778314139, Recompensa: 228.00
Episodio: 34020, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.5491386241160711, Recompensa: 254.00
