Episodio: 1, Nivel: SuperMarioBros-1-3-v0, Epsilon: 1.0000, Recompensa: 532.40
Episodio: 2, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9998, Recompensa: 802.60
Episodio: 3, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9996, Recompensa: 880.50
Episodio: 4, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9995, Recompensa: 525.50
Episodio: 5, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9994, Recompensa: 642.00
Episodio: 6, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9993, Recompensa: 504.90
Episodio: 7, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9982, Recompensa: -1171.70
Episodio: 8, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9981, Recompensa: 705.00
Episodio: 9, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9978, Recompensa: 489.70
Episodio: 10, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9944, Recompensa: -7776.90
Episodio: 11, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9944, Recompensa: 526.00
Episodio: 12, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9943, Recompensa: 556.00
Episodio: 13, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9941, Recompensa: 1153.00
Episodio: 14, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9939, Recompensa: 729.90
Episodio: 15, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9938, Recompensa: 843.70
Episodio: 16, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9937, Recompensa: 759.20
Episodio: 17, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9935, Recompensa: 624.40
Episodio: 18, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9918, Recompensa: -4624.80
Episodio: 19, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9917, Recompensa: 523.00
Episodio: 20, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9916, Recompensa: 503.40
Episodio: 21, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9915, Recompensa: 578.00
Episodio: 22, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9914, Recompensa: 432.50
Episodio: 23, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9913, Recompensa: 727.00
Episodio: 24, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9901, Recompensa: -1091.60
Episodio: 25, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9900, Recompensa: 498.00
Episodio: 26, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9898, Recompensa: 939.10
Episodio: 27, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9897, Recompensa: 394.00
Episodio: 28, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9893, Recompensa: 943.70
Episodio: 29, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9892, Recompensa: 494.00
Episodio: 30, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9891, Recompensa: 585.20
Episodio: 31, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9870, Recompensa: -2917.00
Episodio: 32, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9869, Recompensa: 448.00
Episodio: 33, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9868, Recompensa: 700.70
Episodio: 34, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9867, Recompensa: 492.00
Episodio: 35, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9863, Recompensa: 1636.10
Episodio: 36, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9859, Recompensa: 1119.50
Episodio: 37, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9858, Recompensa: 518.40
Episodio: 38, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9857, Recompensa: 532.40
Episodio: 39, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9854, Recompensa: 549.70
Episodio: 40, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9850, Recompensa: 876.30
Episodio: 41, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9848, Recompensa: 503.10
Episodio: 42, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9845, Recompensa: 1042.10
Episodio: 43, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9845, Recompensa: 623.00
Episodio: 44, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9820, Recompensa: -9639.30
Episodio: 45, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9819, Recompensa: 590.90
Episodio: 46, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9817, Recompensa: 632.90
Episodio: 47, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9815, Recompensa: 1270.50
Episodio: 48, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9814, Recompensa: 506.80
Episodio: 49, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9813, Recompensa: 532.80
Episodio: 50, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9808, Recompensa: -360.10
Episodio: 51, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9807, Recompensa: 498.40
Episodio: 52, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9805, Recompensa: 842.00
Episodio: 53, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9804, Recompensa: 533.00
Episodio: 54, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9800, Recompensa: 482.50
Episodio: 55, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9796, Recompensa: 1233.90
Episodio: 56, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9796, Recompensa: 467.00
Episodio: 57, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9794, Recompensa: 477.90
Episodio: 58, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9794, Recompensa: 542.00
