Episodio: 30001, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 879.00
Episodio: 30002, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 580.00
Episodio: 30003, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1247.20
Episodio: 30004, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 707.00
Episodio: 30005, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1023.00
Episodio: 30006, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 646.00
Episodio: 30007, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1160.10
Episodio: 30008, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 635.20
Episodio: 30009, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 177.90
Episodio: 30010, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -734.90
Episodio: 30011, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1028.00
Episodio: 30012, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1266.60
Episodio: 30013, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1181.90
Episodio: 30014, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1008.00
Episodio: 30015, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1884.90
Episodio: 30016, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 625.00
Episodio: 30017, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 985.00
Episodio: 30018, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 375.20
Episodio: 30019, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 519.00
Episodio: 30020, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 951.20
Episodio: 30021, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1575.10
Episodio: 30022, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1189.50
Episodio: 30023, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 2992.90
Episodio: 30024, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1528.90
Episodio: 30025, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 414.30
Episodio: 30026, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 768.00
Episodio: 30027, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 896.90
Episodio: 30028, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 999.00
Episodio: 30029, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 458.00
Episodio: 30030, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 624.00
Episodio: 30031, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 631.00
Episodio: 30032, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 448.90
Episodio: 30033, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 314.40
Episodio: 30034, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 622.00
Episodio: 30035, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 950.00
Episodio: 30036, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 652.00
Episodio: 30037, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 734.00
Episodio: 30038, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -145.10
Episodio: 30039, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -8071.00
Episodio: 30040, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2724.70
Episodio: 30041, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -59.60
Episodio: 30042, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1202.30
Episodio: 30043, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 475.40
Episodio: 30044, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1197.90
Episodio: 30045, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30046, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 880.40
Episodio: 30047, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -7256.50
Episodio: 30048, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 562.50
Episodio: 30049, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1000.10
Episodio: 30050, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -2785.70
Episodio: 30051, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 508.00
Episodio: 30052, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1060.00
Episodio: 30053, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 723.00
Episodio: 30054, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 885.20
Episodio: 30055, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 960.00
Episodio: 30056, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1170.00
Episodio: 30057, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -3163.30
Episodio: 30058, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1341.00
Episodio: 30059, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 972.00
Episodio: 30060, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30061, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1126.00
Episodio: 30062, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 642.00
Episodio: 30063, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1575.60
Episodio: 30064, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 561.90
Episodio: 30065, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1677.00
Episodio: 30066, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2171.40
Episodio: 30067, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 3066.00
Episodio: 30068, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 516.40
Episodio: 30069, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1586.00
Episodio: 30070, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 999.00
Episodio: 30071, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1021.30
Episodio: 30072, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 636.00
Episodio: 30073, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1208.20
Episodio: 30074, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -438.20
Episodio: 30075, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 376.30
Episodio: 30076, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 447.00
Episodio: 30077, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 660.30
Episodio: 30078, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2832.80
Episodio: 30079, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1189.20
Episodio: 30080, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 475.60
Episodio: 30081, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 977.60
Episodio: 30082, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -11751.70
Episodio: 30083, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 730.00
Episodio: 30084, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 451.00
Episodio: 30085, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 493.50
Episodio: 30086, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 393.20
Episodio: 30087, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 625.00
Episodio: 30088, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 497.00
Episodio: 30089, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1374.90
Episodio: 30090, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 479.40
Episodio: 30091, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 613.00
Episodio: 30092, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -10487.90
Episodio: 30093, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1292.40
Episodio: 30094, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30095, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 539.00
Episodio: 30096, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30097, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 907.00
Episodio: 30098, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1839.60
Episodio: 30099, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1160.00
Episodio: 30100, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30101, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
