Episodio: 1, Reward: 223.00, Epsilon: 0.9999
Episodio: 2, Reward: 575.00, Epsilon: 0.9994
Episodio: 3, Reward: 569.00, Epsilon: 0.9990
Episodio: 4, Reward: 234.00, Epsilon: 0.9989
Episodio: 5, Reward: 750.00, Epsilon: 0.9983
Episodio: 6, Reward: 644.00, Epsilon: 0.9980
Episodio: 7, Reward: 228.00, Epsilon: 0.9979
Episodio: 8, Reward: 649.00, Epsilon: 0.9964
Episodio: 9, Reward: 734.00, Epsilon: 0.9953
Episodio: 10, Reward: 581.00, Epsilon: 0.9951
Episodio: 11, Reward: 200.00, Epsilon: 0.9949
Episodio: 12, Reward: 241.00, Epsilon: 0.9949
Episodio: 13, Reward: 615.00, Epsilon: 0.9944
Episodio: 14, Reward: 750.00, Epsilon: 0.9941
Episodio: 15, Reward: 244.00, Epsilon: 0.9940
Episodio: 16, Reward: 237.00, Epsilon: 0.9939
Episodio: 17, Reward: 233.00, Epsilon: 0.9938
Episodio: 18, Reward: 608.00, Epsilon: 0.9935
Episodio: 19, Reward: 246.00, Epsilon: 0.9934
Episodio: 20, Reward: 1292.00, Epsilon: 0.9903
Episodio: 21, Reward: 1301.00, Epsilon: 0.9896
Episodio: 22, Reward: 203.00, Epsilon: 0.9895
Episodio: 23, Reward: 673.00, Epsilon: 0.9856
Episodio: 24, Reward: 614.00, Epsilon: 0.9850
Episodio: 25, Reward: 251.00, Epsilon: 0.9850
Episodio: 26, Reward: 243.00, Epsilon: 0.9849
Episodio: 27, Reward: 719.00, Epsilon: 0.9844
Episodio: 28, Reward: 608.00, Epsilon: 0.9842
Episodio: 29, Reward: 709.00, Epsilon: 0.9836
Episodio: 30, Reward: 985.00, Epsilon: 0.9827
Episodio: 31, Reward: 689.00, Epsilon: 0.9822
Episodio: 32, Reward: 628.00, Epsilon: 0.9819
Episodio: 33, Reward: 221.00, Epsilon: 0.9819
Episodio: 34, Reward: 635.00, Epsilon: 0.9816
Episodio: 35, Reward: 631.00, Epsilon: 0.9812
Episodio: 36, Reward: 625.00, Epsilon: 0.9800
Episodio: 37, Reward: 567.00, Epsilon: 0.9795
Episodio: 38, Reward: 245.00, Epsilon: 0.9795
Episodio: 39, Reward: 216.00, Epsilon: 0.9794
Episodio: 40, Reward: 625.00, Epsilon: 0.9791
Episodio: 41, Reward: 602.00, Epsilon: 0.9788
Episodio: 42, Reward: 1327.00, Epsilon: 0.9777
Episodio: 43, Reward: 229.00, Epsilon: 0.9776
Episodio: 44, Reward: 244.00, Epsilon: 0.9775
Episodio: 45, Reward: 227.00, Epsilon: 0.9775
Episodio: 46, Reward: 592.00, Epsilon: 0.9751
Episodio: 47, Reward: 626.00, Epsilon: 0.9747
Episodio: 48, Reward: 899.00, Epsilon: 0.9730
Episodio: 49, Reward: 631.00, Epsilon: 0.9727
Episodio: 50, Reward: 802.00, Epsilon: 0.9723
Episodio: 51, Reward: 594.00, Epsilon: 0.9721
Episodio: 52, Reward: 746.00, Epsilon: 0.9716
Episodio: 53, Reward: 224.00, Epsilon: 0.9715
Episodio: 54, Reward: 240.00, Epsilon: 0.9714
Episodio: 55, Reward: 213.00, Epsilon: 0.9713
Episodio: 56, Reward: 217.00, Epsilon: 0.9712
Episodio: 57, Reward: 633.00, Epsilon: 0.9709
Episodio: 58, Reward: 231.00, Epsilon: 0.9708
Episodio: 59, Reward: 233.00, Epsilon: 0.9707
Episodio: 60, Reward: 539.00, Epsilon: 0.9686
Episodio: 61, Reward: 220.00, Epsilon: 0.9685
Episodio: 62, Reward: 748.00, Epsilon: 0.9682
Episodio: 63, Reward: 585.00, Epsilon: 0.9679
Episodio: 64, Reward: 746.00, Epsilon: 0.9673
Episodio: 65, Reward: 724.00, Epsilon: 0.9664
Episodio: 66, Reward: 225.00, Epsilon: 0.9663
Episodio: 67, Reward: 219.00, Epsilon: 0.9662
Episodio: 68, Reward: 592.00, Epsilon: 0.9660
Episodio: 69, Reward: 748.00, Epsilon: 0.9651
Episodio: 70, Reward: 587.00, Epsilon: 0.9648
Episodio: 71, Reward: 603.00, Epsilon: 0.9646
Episodio: 72, Reward: 628.00, Epsilon: 0.9643
Episodio: 73, Reward: 238.00, Epsilon: 0.9642
Episodio: 74, Reward: 239.00, Epsilon: 0.9641
Episodio: 75, Reward: 232.00, Epsilon: 0.9640
Episodio: 76, Reward: 986.00, Epsilon: 0.9632
Episodio: 77, Reward: 237.00, Epsilon: 0.9631
Episodio: 78, Reward: 1072.00, Epsilon: 0.9605
Episodio: 79, Reward: 234.00, Epsilon: 0.9604
Episodio: 80, Reward: 706.00, Epsilon: 0.9591
Episodio: 81, Reward: 214.00, Epsilon: 0.9590
Episodio: 82, Reward: 631.00, Epsilon: 0.9586
Episodio: 83, Reward: 224.00, Epsilon: 0.9585
Episodio: 84, Reward: 604.00, Epsilon: 0.9583
Episodio: 85, Reward: 182.00, Epsilon: 0.9581
Episodio: 86, Reward: 714.00, Epsilon: 0.9576
Episodio: 87, Reward: 632.00, Epsilon: 0.9573
Episodio: 88, Reward: 589.00, Epsilon: 0.9570
Episodio: 89, Reward: 226.00, Epsilon: 0.9569
Episodio: 90, Reward: 214.00, Epsilon: 0.9568
Episodio: 91, Reward: 1006.00, Epsilon: 0.9561
Episodio: 92, Reward: 1250.00, Epsilon: 0.9551
Episodio: 93, Reward: 568.00, Epsilon: 0.9547
Episodio: 94, Reward: 219.00, Epsilon: 0.9546
Episodio: 95, Reward: 629.00, Epsilon: 0.9543
Episodio: 96, Reward: 613.00, Epsilon: 0.9541
Episodio: 97, Reward: 225.00, Epsilon: 0.9540
Episodio: 98, Reward: 1060.00, Epsilon: 0.9530
Episodio: 99, Reward: 1143.00, Epsilon: 0.9510
Episodio: 100, Reward: 224.00, Epsilon: 0.9509
Episodio: 101, Reward: 807.00, Epsilon: 0.9506
Episodio: 102, Reward: 636.00, Epsilon: 0.9503
Episodio: 103, Reward: 593.00, Epsilon: 0.9499
Episodio: 104, Reward: 221.00, Epsilon: 0.9498
Episodio: 105, Reward: 921.00, Epsilon: 0.9483
Episodio: 106, Reward: 987.00, Epsilon: 0.9475
Episodio: 107, Reward: 231.00, Epsilon: 0.9475
Episodio: 108, Reward: 245.00, Epsilon: 0.9474
Episodio: 109, Reward: 621.00, Epsilon: 0.9471
Episodio: 110, Reward: 858.00, Epsilon: 0.9451
Episodio: 111, Reward: 644.00, Epsilon: 0.9448
Episodio: 112, Reward: 985.00, Epsilon: 0.9440
Episodio: 113, Reward: 944.00, Epsilon: 0.9428
Episodio: 114, Reward: 960.00, Epsilon: 0.9407
Episodio: 115, Reward: 743.00, Epsilon: 0.9401
Episodio: 116, Reward: 206.00, Epsilon: 0.9400
Episodio: 117, Reward: 797.00, Epsilon: 0.9375
Episodio: 118, Reward: 1597.00, Epsilon: 0.9364
Episodio: 119, Reward: 608.00, Epsilon: 0.9360
Episodio: 120, Reward: 769.00, Epsilon: 0.9356
Episodio: 121, Reward: 788.00, Epsilon: 0.9352
Episodio: 122, Reward: 768.00, Epsilon: 0.9324
Episodio: 123, Reward: 239.00, Epsilon: 0.9323
Episodio: 124, Reward: 221.00, Epsilon: 0.9322
Episodio: 125, Reward: 246.00, Epsilon: 0.9321
Episodio: 126, Reward: 218.00, Epsilon: 0.9320
Episodio: 127, Reward: 624.00, Epsilon: 0.9309
Episodio: 128, Reward: 224.00, Epsilon: 0.9308
Episodio: 129, Reward: 242.00, Epsilon: 0.9307
Episodio: 130, Reward: 605.00, Epsilon: 0.9305
Episodio: 131, Reward: 630.00, Epsilon: 0.9301
Episodio: 132, Reward: 215.00, Epsilon: 0.9301
Episodio: 133, Reward: 245.00, Epsilon: 0.9300
Episodio: 134, Reward: 689.00, Epsilon: 0.9292
Episodio: 135, Reward: 235.00, Epsilon: 0.9291
Episodio: 136, Reward: 780.00, Epsilon: 0.9285
Episodio: 137, Reward: 227.00, Epsilon: 0.9284
Episodio: 138, Reward: 678.00, Epsilon: 0.9275
Episodio: 139, Reward: 238.00, Epsilon: 0.9274
Episodio: 140, Reward: 1008.00, Epsilon: 0.9268
Episodio: 141, Reward: 688.00, Epsilon: 0.9261
Episodio: 142, Reward: 1123.00, Epsilon: 0.9238
Episodio: 143, Reward: 594.00, Epsilon: 0.9235
Episodio: 144, Reward: 625.00, Epsilon: 0.9233
Episodio: 145, Reward: 1096.00, Epsilon: 0.9206
Episodio: 146, Reward: 629.00, Epsilon: 0.9203
Episodio: 147, Reward: 790.00, Epsilon: 0.9198
Episodio: 148, Reward: 899.00, Epsilon: 0.9183
Episodio: 149, Reward: 246.00, Epsilon: 0.9182
Episodio: 150, Reward: 227.00, Epsilon: 0.9181
Episodio: 151, Reward: 760.00, Epsilon: 0.9173
Episodio: 152, Reward: 640.00, Epsilon: 0.9171
Episodio: 153, Reward: 854.00, Epsilon: 0.9151
Episodio: 154, Reward: 612.00, Epsilon: 0.9149
Episodio: 155, Reward: 747.00, Epsilon: 0.9145
Episodio: 156, Reward: 223.00, Epsilon: 0.9144
Episodio: 157, Reward: 596.00, Epsilon: 0.9142
Episodio: 158, Reward: 605.00, Epsilon: 0.9139
Episodio: 159, Reward: 723.00, Epsilon: 0.9135
